OBJ_CD,OBJ_NM,GRP_NM
6329,Liability insurance premium,Liability insurance premium
6345,Life insurance premiums,Life insurance premiums
6830,Loan Proceeds Disbursements,Loan Proceeds Disbursements
6339,Long-term disability premiums,Long-term disability premiums
7153,Luminaires & streetlight equip,Luminaires & streetlight equip
6418,Mail distribution cost,Mail distribution cost
6384,Maintenance-airport runways,Maintenance
6392,Maintenance-aux gen equipment,Maintenance
6390,Maintenance-boilers,Maintenance
6385,Maintenance-bridges/carouse,Maintenance
6383,Maintenance-buildings,Maintenance
6398,Maintenance-chillers,Maintenance
6387,Maintenance-computer hardware,Maintenance
6388,Maintenance-computer software,Maintenance
6381,Maintenance-electric motors,Maintenance
6382,Maintenance-grounds,Maintenance
6393,Maintenance-hydraulic equipmnt,Maintenance
6386,Maintenance-office equipmen,Maintenance
6389,Maintenance-other equipment,Maintenance
6396,Maintenance-pipelines,Maintenance
6391,Maintenance-turbine/generator,Maintenance
6395,Maintenance-vehicles,Maintenance
7426,Medical equipment (noncapital),Medical Related
7425,Medical/dental supplies,Medical Related
9040,Medical/lab equipment,Medical Related
6632,Memberships,Memberships
7465,Meter card-seal-graph-tape,Meter
7461,Meter parts,Meter
7460,Meters,Meter
6456,Microfilming,Microfilming
6551,Mileage reimbursements,Mileage reimbursements
7611,Minor communications equipment,Minor 
7610,Minor computer hardware,Minor 
6854,Miscellaneous expense,Miscellaneous expense
7470,Non Stock--Do Not Use,Non Stock--Do Not Use
9041,Office Equipment,Office 
7615,Office furnishings,Office 
7500,Office supplies,Office 
8508,Other 3rd party billings,Other
6350,Other claims/damages,Other
7801,Other costs,Other
9051,Other Equipment,Other
6349,Other health premiums,Other
7124,Paint/painting supplies,Paint
6561,Parking costs,Parking costs
7320,Parts for equipment,Parts
7330,Parts for vehicles,Parts
7450,Photographic,Photographic
7132,Pipes and fittings,Pipes and fittings
7149,"Poles, streetlight",Poles
7148,"Poles, towers, steel",Poles
7458,Police supplies,Police supplies
6415,Postage,Postage
6816,Pressure Reduction Valve Rebate-AWU,Pressure Reduction Valve Rebate-AWU
8350,Principal payment D/S funds,Principal payment D/S funds
6452,Printing/binding/photo/repr,Printing/binding/photo/repr
6416,Priority mail/parcel services,Priority mail/parcel services
6558,Professional registration,Professional registration
7155,"Pull boxes,svc boxes,manholes","Pull boxes,svc boxes,manholes"
7100,Purch.card costs to reclassify,Purch.card costs to reclassify
6249,Radio comm-other,Radio
9050,Radio Communication Equipment,Radio
7245,Radio equipment,Radio
6817,Rainwater Harvesting Rebate-AWU,Rainwater Harvesting Rebate-AWU
7269,Raw water - purchased,Raw water - purchased
7452,Recreational supplies,Recreational supplies
8110,Redemption of principal-gen,Redemption of principal-gen
7129,Refrigerant components-HVAC,Refrigerant components-HVAC
6249,Regional Radio System,Regional Radio System
6552,Reimbursable business expen,Reimbursable
8509,Reimbursed overtime,Reimbursable
7151,Relays and relaying equipment,Relays and relaying equipment
6130,Rental-computer software,Rental
6124,Rental-copy machines,Rental
6132,Rental-heavy equipment,Rental
6127,Rental-office equipment,Rental
6126,Rental-other equipment,Rental
6121,Rental-real estate-office,Rental
6123,Rental-real estate-other,Rental
6122,Rental-real estate-warehouse,Rental
6128,Rental-safe deposit/postal,Rental
6140,Rental-temporary easement,Rental
6135,Rental-Uniforms,Rental
6125,Rental-vehicles/buses,Rental
9032,Replacement Vehicles,Replacement Vehicles
7601,Safety equipment,Safety equipment
7119,Sand/gravel/stone,Sand/gravel/stone
7603,Security equipment,Security equipment
6531,Seminar/training fees,Seminar/training fees
5505,Services-accounting,Services
5510,Services-actuary,Services
5515,Services-appraisal,Services
5520,Services-architectural,Services
5530,Services-auction sales,Services
5525,Services-auditing,Services
5550,Services-benefits management,Services
5650,Services-Bio Solid Reuse,Services
5558,Services-closing/title insur,Services
5564,Services-collection costs,Services
5560,Services-construction contr,Services
5632,Services-contr.medical-relief,Services
5570,Services-court costs,Services
5565,Services-Credit Card Fees,Services
5575,Services-employee assistance,Services
5590,Services-engineering,Services
5588,Services-environmnt assessment,Services
5595,Services-garbage/recycling clt,Services
5600,Services-hazardous mat disp,Services
5605,Services-inspection,Services
5760,Services-internet/cable,Services
5621,Services-investigations,Services
5725,Services-IT staffing,Services
5610,Services-janitorial,Services
5618,Services-land acquisition,Services
5615,Services-land planner,Services
5594,Services-landfill services,Services
5620,Services-legal fees,Services
5622,Services-legal fees benefit,Services
5640,Services-medical pmts to Brack,Services
5630,Services-medical/surgical,Services
5860,Services-other,Services
5613,Services-pest control,Services
5561,Services-PID contract expense,Services
5864,Services-Prepared Food and Catering,Services
5675,Services-security,Services
5700,Services-survey,Services
5720,Services-temporary employme,Services
5730,Services-testing,Services
5740,Services-trans (non-emerg),Services
5573,Services-transcription leg/med,Services
5800,Services-translators,Services
5750,Services-vacant lot clearing,Services
5644,Services-veterinary,Services
6336,Short-term disability premiums,Short-term disability premiums
7605,Small electric motors-water ut,Small electric motors-water ut
7600,Small tools/minor equipment,Small tools/minor equipment
7580,Software,Software
6503,Staff dev-seminars,Staff related
6502,Staff dev-travel,Staff related
5645,State Medicaid tax,State Medicaid tax
6348,Stop loss fee-health insura,Stop loss fee-health insura
7118,Storm drainage,Storm drainage
6839,STP-operating expense,STP-operating expense
7121,Street/traff signs/mrkr/pos,Street/traff signs/mrkr/pos
6363,Structured settlements,Structured settlements
6633,Subscriptions,Subscriptions
6340,Supplemental life ins premiums,Supplemental life ins premiums
6406,Telephone equipment,Telephone
6409,Telephone language line,Telephone
6404,Telephone-base cost,Telephone
6407,Telephone-cellular phones,Telephone
6405,Telephone-long distance,Telephone
7340,Tires/tubes,Tires/tubes
6190,Toll Road - Tx Tag,Toll Road - Tx Tag
6534,Training-basics,Training
6530,Training-city wide,Training
6176,Transportation fee expense,Transportation
6255,Transportation-city veh fuel,Transportation
6501,Travel City Business,Travel City Business
9892,TRF CRF to Debt Defeasance,TRF CRF to Debt Defeasance
9775,Trf to ABIA D/S-Serial A Notes,Trf to ABIA D/S-Serial A Notes
7810,Uninventoried freight,Uninventoried freight
8312,Util rev bnd commission exp,Util rev bnd commission exp
7133,Valves,Valves
9031,Vehicle/Motored Equipment,Vehicle/Motored Equipment
6334,Vision Program Services,Vision Program Services
6819,Wash Wise Rebate-AWU,Wash Wise Rebate-AWU
6170,Wastewater service,Wastewater
6180,Wastewater svcs-interlocal,Wastewater
6165,Water service,Water service
6179,Water Services Interlocal,Water service
7128,Welding supplies,Welding supplies
6248,Wireless Communication-instal,Wireleess
6247,Wireless Communication-towers,Wireleess
6245,Wireless Communications-maint,Wireleess
6823,Zero Waste Event Rebate,Zero Waste Event Rebate
